id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating,bedroom,bed,bath,is_studio,type
859305097139901692,468390337,Mariel,,Retiro,-34.59885032051483,-58.37835900485516,Entire home/apt,7410,1,6,2023-06-24,5.29,1,233,6,,4.17,1,3,1,False,Rental unit 
859310335932653027,166559703,Lola,,Belgrano,-34.56714008138169,-58.46166546903009,Entire home/apt,13248,4,0,,,1,364,0,,,1,1,1,False,Rental unit 
859326608578525426,476855062,Rodrigo Lautaro,,Palermo,-34.5635718,-58.4394074,Entire home/apt,14921,3,6,2023-06-20,3.05,2,132,6,,5.0,3,3,1.5,False,Rental unit 
859328411144587925,461203988,Susana,,Palermo,-34.5887845,-58.4138297,Entire home/apt,12119,1,8,2023-06-23,3.08,23,341,8,,4.88,1,1,1,False,Rental unit 
859330253707478322,14080679,Silvia,,Belgrano,-34.56375571739065,-58.44311385832689,Entire home/apt,6369,2,3,2023-06-25,3.0,1,83,3,,5.0,1,1,1,False,Rental unit 
859337656452148145,118525222,Maia,,San Nicolas,-34.5996612,-58.3754431,Entire home/apt,12665,2,9,2023-06-17,3.29,2,67,9,,4.67,2,3,1,False,Rental unit 
859346677020505272,2905876,Marcos,,Palermo,-34.572468,-58.43287459999999,Entire home/apt,9426,4,4,2023-06-10,1.52,44,361,4,,5.0,2,2,1,False,Rental unit 
859348195087314044,104897600,Top Rentals,,Palermo,-34.5799188,-58.4092999,Entire home/apt,28180,1,10,2023-06-23,3.66,27,264,10,,5.0,2,2,1,False,Rental unit 
859374618320080525,74885919,Be Local,,Palermo,-34.5829046,-58.4428109,Entire home/apt,9017,1,8,2023-06-03,2.93,78,254,8,,5.0,1,1,1,True,Rental unit 
859387172595902138,344599,Danilo,,Parque Chas,-34.5823948,-58.4761362,Entire home/apt,6369,1,0,,,26,344,0,,,1,2,1,False,Rental unit 
859391792345432240,140656316,Casa Momento,,Belgrano,-34.562914304310674,-58.4419765554972,Entire home/apt,16305,7,1,2023-04-30,0.5,5,90,1,,,1,1,1,False,Condo 
859396697451414952,492235842,Monica,,Nuñez,-34.55273,-58.46914,Entire home/apt,11464,3,2,2023-05-11,0.75,7,263,2,,,1,3,1,True,Rental unit 
859410335789801472,5269910,Alberto,,Villa Devoto,-34.5930971709921,-58.507812579468606,Entire home/apt,6369,21,0,,,2,342,0,,,1,1,1,False,Rental unit 
